Plant Location,Plant Capacity (m³/day),Project Award Year,Raw Water Salinity (mg/L),Plant Type,Project Financing Type,Capital Cost (USD)
Brazil,9804,1992,22824,Sea water,Public,8241000.0
India,20770,1984,28178,Sea water,PPP,6887000.0
India,2885,2004,18894,Brackish water,Private,9993000.0
Saudi Arabia,12063,1999,20346,Waste water,Public,10814000.0
Brazil,49479,1997,20962,Brackish water,Public,13157000.0
USA,6515,1997,31960,Waste water,PPP,13874000.0
Saudi Arabia,3471,1981,9503,Waste water,Private,6746000.0
USA,4221,1989,23416,Sea water,Public,12700000.0
Germany,2725,2024,19425,Brackish water,Public,21240000.0
Saudi Arabia,3696,1991,22833,Sea water,PPP,9840000.0
Saudi Arabia,5594,1992,16713,Sea water,Private,10343000.0
India,1987,1990,19755,Brackish water,Private,8150000.0
Saudi Arabia,8230,1998,23557,Sea water,Public,12042000.0
Saudi Arabia,19975,2014,35564,Waste water,Private,17337000.0
Germany,3269,2018,24040,Sea water,Public,17714000.0
Saudi Arabia,37022,2005,15759,Brackish water,Public,17292000.0
Germany,13504,1993,17881,Brackish water,Private,15798000.0
USA,22710,2024,17732,Brackish water,PPP,24087000.0
India,4197,2023,11021,Sea water,Public,8923000.0
India,19044,2003,18349,Waste water,Public,7777000.0
India,2719,2020,23664,Brackish water,Private,12964000.0         
Saudi Arabia,19736,1980,13628,Brackish water,Private,10583000.0
Saudi Arabia,9622,2022,25242,Sea water,PPP,15983214.0
Brazil,14090,2001,22438,Brackish water,Private,12532158.0
